site;mois;poids
FRA329;6;2,72
FRA330;6;7,2
FRA332;6;3,096
FRA333;6;2,62
FRA335;6;9,2
FRA336;6;4,9896
FRA337;6;5,5242
FRA338;6;0,72
FRA339;6;3,15
FRA340;6;5,5
FRA342;6;6,3
FRA344;6;0,94
FRA345;6;3,558
FRA346;6;2,66
FRA347;6;5,86
FRA349;6;3,733
FRA350;6;2,189
FRA351;6;8,79
FRA352;6;10,96
FRA353;6;2,832
FRA354;6;6,4152
FRA356;6;2,6
FRA357;6;2,48
FRA358;6;20,22
FRA359;6;4,248
FRA360;6;8,1
FRA365;6;1,277
FRA366;6;1,6038
FRA400;6;1,2474
FRA401;6;1,13
FRA402;6;5,378
FRA403;6;2,348
FRA404;6;6,237
FRA406;6;1,2474
FRA407;6;2,13
FRA408;6;1,4256
FRA001;7;10,5138
FRA002;7;6,221
FRA003;7;3,596
FRA004;7;5,04
FRA005;7;13,352
FRA006;7;7,8408
FRA007;7;9,28
FRA008;7;8,407
FRA009;7;11,446
FRA010;7;3,564
FRA011;7;8,91
FRA012;7;9,25
FRA013;7;10,08
FRA014;7;3,0294
FRA015;7;6,145
FRA016;7;13,491
FRA017;7;3,3858
FRA018;7;0,79
FRA019;7;3,351
FRA020;7;4,692
FRA021;7;6,713
FRA022;7;4,14
FRA023;7;5,4114
FRA024;7;4,1986
FRA025;7;5,14
FRA026;7;6,02
FRA027;7;4,32
FRA028;7;5,3298
FRA029;7;9,88
FRA030;7;6,804
FRA031;7;1,65
FRA032;7;8,44
FRA033;7;11,9394
FRA034;7;12,27
FRA035;7;16,781
FRA036;7;39,995
FRA037;7;3,9204
FRA038;7;6,372
FRA039;7;5,346
FRA041;7;9,69
FRA042;7;9,76
FRA043;7;16,977
FRA044;7;16,585
FRA045;7;16,46
FRA046;7;4,8114
FRA047;7;7,407
FRA048;7;0,72
FRA049;7;2,937
FRA050;7;6,3
FRA051;7;11,73
FRA052;7;2,259
FRA053;7;7,92
FRA054;7;10,146
FRA055;7;4,32
FRA056;7;11,44
FRA057;7;9,513
FRA058;7;9,6
FRA059;7;6,973
FRA060;7;8,9
FRA061;7;9,4446
FRA062;7;9,6228
FRA063;7;8,32
FRA064;7;24,124
FRA066;7;6,35
FRA068;7;6,776
FRA069;7;0,2538
FRA070;7;13,59
FRA071;7;4,492
FRA072;7;1,062
FRA073;7;5,595
FRA075;7;7,68
FRA076;7;10,8
FRA078;7;5,52
FRA079;7;2,527
FRA080;7;15,317
FRA082;7;7,2
FRA083;7;2,8512
FRA084;7;3,62
FRA085;7;3,0213
FRA086;7;5,09
FRA087;7;9,9792
